register,address (dec),address (hex)
ADC_DONE_FLAG,1,0x1
ADC_DONE_MASK,1,0x1
ADC_DONE_STAT,1,0x1
ADC_EN,1,0x1
ADC_FREEZE,1,0x1
ADC_RATE,1,0x1
BST_FAIL_DIS,1,0x1
BST_FAIL_FLAG,1,0x1
BST_FAIL_MASK,1,0x1
BST_FAIL_STAT,1,0x1
C1P2OUT_OVP,7,0x7
C1P2OUT_OVP_BLK,3,0x3
C1P2OUT_OVP_DG,3,0x3
C1P2OUT_OVP_DIS,1,0x1
C1P2OUT_OVP_FLAG,1,0x1
C1P2OUT_OVP_MASK,1,0x1
C1P2OUT_OVP_STAT,1,0x1
C1P2OUT_UVP,7,0x7
C1P2OUT_UVP_BLK,3,0x3
C1P2OUT_UVP_DG,3,0x3
C1P2OUT_UVP_DIS,1,0x1
C1P2OUT_UVP_FLAG,1,0x1
C1P2OUT_UVP_MASK,1,0x1
C1P2OUT_UVP_STAT,1,0x1
C1P_ADC,4095,0xfff
C1P_ADC_DIS,1,0x1
CFLY_OPEN_DIS,1,0x1
CFLY_OPEN_FLAG,1,0x1
CFLY_OPEN_MASK,1,0x1
CFLY_OPEN_STAT,1,0x1
CFLY_SHORT_DIS,1,0x1
CFLY_SHORT_FLAG,1,0x1
CFLY_SHORT_MASK,1,0x1
CFLY_SHORT_STAT,1,0x1
CONV_OCP_FLAG,1,0x1
CONV_OCP_MASK,1,0x1
CONV_OCP_STAT,1,0x1
CP_EN,1,0x1
CP_SWITCHING_FLAG,1,0x1
CP_SWITCHING_MASK,1,0x1
CP_SWITCHING_STAT,1,0x1
DRV_SHORT_DET_DIS,1,0x1
EXT1_DISCHG_CTRL1,1,0x1
EXT1_DISCHG_CTRL2,1,0x1
EXT1_DRV_SHORT_FLAG,1,0x1
EXT1_DRV_SHORT_MASK,1,0x1
EXT1_DRV_SHORT_STAT,1,0x1
EXT1_FET_OPEN_FLAG,1,0x1
EXT1_FET_OPEN_MASK,1,0x1
EXT1_FET_OPEN_STAT,1,0x1
EXT1_OVP,7,0x7
EXT1_OVP_DIS,1,0x1
EXT1_SW_CTRL1,1,0x1
EXT1_SW_CTRL2,1,0x1
EXT2_DISCHG_CTRL1,1,0x1
EXT2_DISCHG_CTRL2,1,0x1
EXT2_DRV_SHORT_FLAG,1,0x1
EXT2_DRV_SHORT_MASK,1,0x1
EXT2_DRV_SHORT_STAT,1,0x1
EXT2_FET_OPEN_FLAG,1,0x1
EXT2_FET_OPEN_MASK,1,0x1
