FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
0,287.216,17.66102,0.251807,4.39905,0.998749,98.7942513279081,0.053621674690000454,17.69375,4.39375,0.226875,1.05375,17.66875,37.5
0,287.4885,17.7246,0.4984053,4.399539,1.99901,99.55499241448172,0.03931212398999939,17.7625,4.3950000000000005,0.474375,2.07375,17.73125,37.5
0,287.5657,17.78738,0.7452085,4.399781,2.99913,99.54892346708225,0.059791578199998696,17.825,4.3950000000000005,0.718125,3.09,17.79375,38.0
0,287.5381,17.84711,0.9918616,4.399187,3.99939,99.39103255087348,0.10779858404599807,17.8875,4.39375,0.965625,4.09125,17.85,38.5
0,287.7036,17.91012,1.238242,4.399283,4.9995,99.17551096773074,0.18284745053999885,17.94375,4.39625,1.2093749999999999,5.11125,17.91875,39.5
0,287.8002,17.97282,1.484978,4.399241,5.9995,98.8909542086078,0.29599591845999385,18.00625,4.39625,1.453125,6.15375,17.98125,41.0
0,288.201,18.03622,1.73153,4.399181,6.99934,98.59465616987988,0.4388924760600048,18.075,4.39625,1.69875,7.14375,18.04375,42.5
0,288.4837,18.10251,1.978176,4.399763,8.0029,98.32703621392308,0.5990875090599985,18.1375,4.39625,1.94625,8.129999999999999,18.10625,44.5
0,288.68359999999996,18.16628,2.225029,4.399483,8.99919,97.9497621083436,0.8287164033500076,18.20625,4.39625,2.18625,9.19875,18.175,47.0
0,289.1845,18.23263,2.471643,4.399681,9.99945,97.6252684632204,1.0701621356399968,18.26875,4.3950000000000005,2.4299999999999997,10.185,18.243750000000002,49.5

FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
1,378.2768,17.6611,0.2532296,4.400099,0.998886,98.27570221783746,0.07711599884600062,17.7,4.39625,0.22874999999999998,1.05375,17.6625,38.5
