FSW_SET,Frequency (kHz),VIN (V),IIN (A),VOUT (V),IOUT (A),Efficiency (%),PLoss (W),VIN_ADC,VOUT_ADC,IIN_ADC,IBAT_ADC,VEXT_ADC,TDIE_ADC
3,815.2174,17.66121,0.2545693,4.399572,0.999146,97.77164013032036,0.10018710134099962,17.675,4.39,0.24187499999999998,0.98625,17.6375,32.0
3,814.8041,17.71775,0.5017487,4.399245,1.99901,98.92323047614302,0.09572328197500113,17.7375,4.38875,0.49874999999999997,1.99875,17.7,32.5
3,815.162,17.77712,0.7492232,4.399533,2.99899,99.06242981178144,0.12487526151400097,17.79375,4.38875,0.7537499999999999,3.0149999999999997,17.75625,33.0
3,815.2949,17.83332,0.9961493,4.399064,3.99951,99.03995415961776,0.17054877603600005,17.85,4.39,1.0106249999999999,4.0424999999999995,17.8125,34.0
3,816.3265,17.89261,1.243212,4.399332,4.99989,98.8845173523646,0.24813138984000105,17.9125,4.39,1.2674999999999998,5.06625,17.868750000000002,35.5
3,817.4498000000001,17.95272,1.490574,4.399737,5.99962,98.64308859211386,0.36310756134000144,17.96875,4.39,1.520625,6.06375,17.9375,36.5
3,817.3199000000001,18.0087,1.737642,4.399036,6.99962,98.39868869205505,0.5010931190800036,18.025000000000002,4.39125,1.7774999999999999,7.109999999999999,17.9875,38.5
3,817.8368,18.06849,1.98464,4.399229,7.99947,98.13731771585215,0.6679475849700012,18.087500000000002,4.39,2.034375,8.129999999999999,18.05,40.5
3,819.1853000000001,18.12793,2.232044,4.399192,8.99919,97.84201113730245,0.8731727344399971,18.14375,4.38875,2.2893749999999997,9.135,18.1125,43.0
3,820.2052,18.1879,2.479184,4.399219,9.99985,97.56133844441057,1.0996205564499917,18.212500000000002,4.39125,2.54625,10.17375,18.16875,46.0
3,820.787,18.2504,2.726041,4.399737,11.0,97.27799954192069,1.354231666399997,18.26875,4.39,2.799375,11.178749999999999,18.23125,49.5
3,821.2675,18.30978,2.973247,4.399297,11.9997,96.97048229402169,1.6492542447600016,18.325,4.39,3.054375,12.19125,18.29375,53.0
